data,id,value
2021-11-11,000429,5.78
2021-11-12,000429,5.75
2021-11-14,000429,5.76
2021-11-15,000429,5.62
2021-11-16,000429,5.68
2021-11-11,000430,4.74
2021-11-12,000430,4.7
2021-11-14,000430,4.65
2021-11-15,000430,4.58
2021-11-16,000430,4.62
2021-11-11,000488,6.74
2021-11-12,000488,6.77
2021-11-14,000488,6.88
2021-11-15,000488,7.1
2021-11-16,000488,7.53
2021-11-11,000498,4.72
2021-11-12,000498,4.74
2021-11-14,000498,4.75
2021-11-15,000498,4.6
2021-11-16,000498,4.6
2021-11-11,000501,11.5
2021-11-12,000501,11.49
2021-11-14,000501,11.12
2021-11-15,000501,10.72
2021-11-16,000501,10.97
2021-11-11,000502,9.71
2021-11-12,000502,9.78
2021-11-14,000502,9.82
2021-11-15,000502,9.17
2021-11-16,000502,9.18
2021-11-11,000503,9.13
2021-11-12,000503,8.68
2021-11-14,000503,8.53
2021-11-15,000503,8.16
2021-11-16,000503,8.08
2021-11-11,000504,12.82
2021-11-12,000504,12.49
2021-11-14,000504,12.45
2021-11-15,000504,12.17
2021-11-16,000504,12.39
2021-11-11,000505,9.4
2021-11-12,000505,9.49
2021-11-14,000505,9.52
2021-11-15,000505,9.15
2021-11-16,000505,8.77
2021-11-11,000506,2.44
2021-11-12,000506,2.39
2021-11-14,000506,2.33
2021-11-15,000506,2.3
2021-11-16,000506,2.27
